id,fund_id,type,quota_name,wallet_external_id
410,194,Senior,COTA SENIOR PICPAY FGTS FIDC,58148846
411,194,Sub,COTA JUNIOR PICPAY FGTS FIDC,58148845
417,185,Senior,COTA SENIOR FIDC AUTO XI,58035125
418,185,Mezanino,COTA MEZ A FIDC AUTO XI,58035126
419,185,Mezanino,COTA MEZ B FIDC AUTO XI,58035127
420,185,Sub,COTA SUB FIDC AUTO XI,58035124
427,234,Classe única,COTA ÚNICA FIDC FAISCA,34736565
428,235,Classe única,COTA ÚNICA FIDC QUARTZO,37650688
429,191,Classe única,COTA UNICA FIDC JASPE,41970246
430,233,Classe única,COTA ÚNICA FIDC ONIX,27635225
431,240,Classe única,COTA UNICA FIDC BERILO,41970148
432,190,Classe única,COTA ÚNICA FIDC TURQUESA,27635377
433,198,Senior,AGROSS FIDC SR,33953550
434,198,Sub,AGROSS FIDC SUB,33953549
435,201,Sub,BTF FIDC SUB,51296133
436,201,Mezanino,BTF FIDC MEZ,51296134
437,201,Senior,BTF FIDC SR,51296135
438,104,Sub,JUSINVEST FIDC SUB,17012025
439,104,Senior,JUSINVEST FIDC SR,22012025
442,197,Sub,LABRADOR FIDC,21917325
443,188,Sub,ORIZ JUSIII FIDC SUB,58036896
444,188,Senior,ORIZ JUSIII FIDC SR,58036897
448,195,Mezanino,SETTORE FIDC MEZ A,20256883
449,195,Sub,SETTORE FIDC SUB,20256882
450,196,Senior,PRIME FIDC SR2,20905863
452,196,Mezanino,PRIME FIDC MEZ5,20905865
453,196,Mezanino,PRIME FIDC MEZ6,20905866
454,196,Mezanino,PRIME FIDC MEZ3,20905867
455,196,Sub,PRIME FIDC SUB,20905862
456,196,Senior,PRIME FIDC SR3,20905868
457,196,Mezanino,PRIME FIDC MEZ7,20905869
458,205,Sub,CAPIA FIDC SUB,56661864
462,236,Mezanino,YUNUS FIDC MZ,29330483
463,236,Sub,YUNUS FIDC SUB,29330482
464,73,Mezanino,COTA MEZANINO FIDC PJBANK,56190299
465,73,Senior,COTA SENIOR FIDC PJBANK,56190300
469,207,Classe única,IGAPORÃ FIC FIM,51861413
475,248,Classe única,CL&AM FIDC,56069419
478,221,Classe única,MACAUBAS FIP MULTIESTRATÉGIA,56960033
479,241,Senior,DC1 FIDC SR,58242642
480,241,Mezanino,DC1 FIDC MEZ,58242643
481,241,Sub,DC1 FIDC SUB,58242641
482,29,Senior,FACIO FIDC SR5,51119656
485,258,Classe única,JADE FIDC NP,41705933
487,158,Mezanino,DORO FIDC MZ,51731272
731,246,Senior,Cota Sênior,58922424
736,163,Mezanino,AGROCANA FIDC MEZ,57053397
737,244,Sub,GAMA SUB JR,58569284
738,91,Mezanino,Bolsa Cred MZ1,50692377
739,143,Senior,EOS FIDC SR,48169686
740,154,Mezanino,GOORO FIDC MZ 5,51295727
741,154,Mezanino,GOORO FIDC MZ 6,51295729
742,154,Senior,GOORO FIDC SR 6,51295730
743,154,Senior,GOORO FIDC SR 2,51295726
744,203,Mezanino,J17 FGTS FDC MZ2,54252148
745,203,Sub,J17 FGTS FIDC SB,54252144
746,152,Senior,NETMONEY FIDC SR,50824502
747,86,Senior,TESLA FIDC SR,51732999
748,86,Mezanino,TESLA FIDC MEZ2,51732997
749,86,Mezanino,TESLA FIDC MEZ3,51732998
750,238,Classe única,COTA ÚNICA FIDC GOLDEN TREE,29249995
751,246,Sub,Cota Júnior,58922423
753,265,Classe única,COTA UNICA FIDC RUBI,19187286
755,29,Mezanino,COTA MEZANINO DA 3ª SÉRIE FACIO FIDC,51119651
758,183,Classe única,COTA ÚNICA FIDC ALT LEGAL CLAIMS,59111770
760,242,Sub,TCG IRON FIDC,58304663
761,189,Senior,Squalo Cota Sr,58312066
765,189,Sub,SDA Sub,58312065
768,269,Senior,269 Senior,58888945
769,269,Sub,269 Sub,58888944
771,270,Classe única,270 Classe única,26690373
776,239,Classe única,TRUST FIDC,20906292
777,108,Senior,METROPO FIDC SR4,18114029
778,154,Senior,GOORO FIDC SR 4,51295731
780,231,Sub,231 Sub,48213067
785,244,Senior,GAMA SUB SENIOR,88569284
787,119,Mezanino,HB FIDC NP MZ,27326001
788,196,Mezanino,PRIME FIDC MEZ8,20905870
789,242,Senior,TCG IRON FIDC SR,58304664
790,243,Sub,SIRIUS IV FIDC,58321970
792,114,Mezanino,URBANO MEZ PR II,23773282
793,114,Senior,URBANO FIDC SR4,23773281
795,106,Senior,UNAVANTI FIDC SR 6,13327339
796,106,Senior,UNAVANTI FIDC SR 7,13327340
797,106,Senior,UNAVANTI FIDC SR 8,13327341
799,106,Senior,UNAVANTI FIDC SR 9,13327342
800,106,Senior,UNAVANTI FIDC SR 10,13327343
802,154,Senior,GOORO FIDC SR 5,51295732
808,279,Senior,279 Senior,51254065
809,279,Classe A,279 Classe A,51254066
810,279,Sub,279 Sub,51254064
811,109,Senior,CLM FIDC SR 5,18676990
813,209,Sub,FIDC AV BANCO SUB,51313788
814,29,Mezanino,FACIO FIDC MZ4,51119652
815,154,Mezanino,GOORO FIDC MZ 7,51295733
818,160,Mezanino,CONDOL FIDC MEZ2,42317299
819,160,Senior,CONDOL FIDC SR2,42317298
820,261,Sub,261 Sub,47280025
821,261,Senior,261 Senior,47280026
824,29,Senior,FACIO FIDC SR6,51119657
831,86,Senior,TESLA FIDC SR II,51733000
832,143,Mezanino,EOS FIDC MZ,48169687
833,88,Senior,ALPS BANK SR 2,51410153
834,18,Senior,PAGALEVE FIDC SENIOR 2,50059868
835,189,Mezanino,FIDC SDA MEZ,58312068
836,227,Senior,COTA SENIOR,52340228
837,227,Mezanino,COTA MEZANINO 2,52340227
838,227,Mezanino,COTA MEZANINO B,52340226
839,227,Sub,COTA SUB JUNIOR,52340225
845,154,Mezanino,Gooroo Fidc Mz8,51295734
848,153,Mezanino,Health FIDC Mez III,51294888
849,153,Senior,Health FIDC Sr 2,51294889
853,280,Senior,280 Senior,33304616
854,280,Senior,280 Senior,33304617
855,280,Sub,280 Sub,33304615
864,119,Senior,HB FIDC NP SR,27326002
866,299,Classe única,299 Classe única,61052199
867,208,Sub,SALVADOR SUB,49087632
869,225,Senior,225 Senior,58482695
870,225,Mezanino,225 Mezanino,58482696
871,225,Sub,225 Sub,58482694
872,154,Mezanino,GOORO FIDC MZ 9,51295736
873,154,Senior,GOORO FIDC SR 7,51295735
875,285,Sub,285 Sub,60614968
878,114,Senior,URBANO FIDC SR5,23773283
881,303,Senior,303 Senior,24987403
882,303,Mezanino,303 Mezanino,24987404
883,303,Sub,303 Sub,24987402
891,109,Sub,CLM FIDC SUB OFICIAL,28052025
899,312,Senior,312 Senior,61430639
900,312,Classe A,312 Classe A,61430640
901,312,Sub,312 Sub,61430641
